"Bib No","Old/New","Tag","Ind","Field Data"
"013826213","Old","600","00","$a Jesus Christ $x Baptism $x Art $v Photographs.","","",""
"013826213","New","600","00","$a Jesus Christ $x Baptism $v Art $v Photographs.","","",""
"014239121","Old","600","10","$a Shakespeare, William, $d 1564-1616 $x Sources.","","",""
"014239121","New","600","10","$a Shakespeare, William, $d 1564-1616 $v Sources.","","",""
"004279551","Old","610","20","$a Catholic Church $x Anecdotes.","","",""
"004279551","New","610","20","$a Catholic Church $v Anecdotes.","","",""
"004211269","Old","610","20","$a Catholic Church $x Controversial literature.","","",""
"004211269","New","610","20","$a Catholic Church $v Controversial literature.","","",""
"004704342","Old","610","20","$a Catholic Church $x Controversial literature.","","",""
"004704342","New","610","20","$a Catholic Church $v Controversial literature.","","",""
"014241122","Old","610","20","$a Catholic Church $x Periodicals $x History $y 20th century $z Exhibitions.","","",""
"014241122","New","610","20","$a Catholic Church $v Periodicals $x History $y 20th century $z Exhibitions.","","",""
"007388571","Old","610","20","$a Catholic Church $x Sermons.","","",""
"007388571","New","610","20","$a Catholic Church $v Sermons.","","",""
"002030948","Old","630","0","$a Bible $x Picture Bibles.","","",""
"002030948","New","630","00","$a Bible $v Picture Bibles.","","",""
"013805302","Old","650","0","$a African Americans $x Music $x Social aspects.","","",""
"013805302","New","650","0","$a African Americans $v Music $x Social aspects.","","",""
"013927393","Old","650","0","$a African Americans $x Statistics.","","",""
"013927393","New","650","0","$a African Americans $v Statistics.","","",""
"014262958","Old","650","0","$a Akkadian language $x Texts.","","",""
"014262958","New","650","0","$a Akkadian language $v Texts.","","",""
"014054807","Old","650","0","$a Arabic language $x Versification $x Early works to 1800.","","",""
"014054807","New","650","0","$a Arabic language $x Versification $v Early works to 1800.","","",""
"014241948","Old","650","0","$a Arachnida $x Classification.","","",""
"014241948","New","650","0","$a Arachnida $v Classification.","","",""
"014263307","Old","650","0","$a Architecture $z Mexico $y 20th century $v Exhibitions $x History.","","",""
"014263307","New","650","0","$a Architecture $z Mexico $x History $y 20th century $v Exhibitions $x History.","","",""
"007388063","Old","650","0","$a Arithmetic $x Early works to 1900.","","",""
"007388063","New","650","0","$a Arithmetic $v Early works to 1900.","","",""
"007393430","Old","650","0","$a Arithmetic $x Early works to 1900.","","",""
"007393430","New","650","0","$a Arithmetic $v Early works to 1900.","","",""
"007394451","Old","650","0","$a Arithmetic $x Early works to 1900.","","",""
"007394451","New","650","0","$a Arithmetic $v Early works to 1900.","","",""
"014216352","Old","650","0","$a Art $x Exhibitions $x History $y 20th century $v Congresses.","","",""
"014216352","New","650","0","$a Art $v Exhibitions $x History $y 20th century $v Congresses.","","",""
"014154638","Old","650","0","$a Authors $x Biography $v Fiction $x History and criticism.","","",""
"014154638","New","650","0","$a Authors $v Biography $v Fiction $x History and criticism.","","",""
"003670483","Old","650","0","$a Authors' spouses $z Great Britain $x Correspondence.","","",""
"003670483","New","650","0","$a Authors' spouses $z Great Britain $v Correspondence.","","",""
"013925497","Old","650","0","$a Authors, English $y 20th century $x Biography.","","",""
"013925497","New","650","0","$a Authors, English $y 20th century $v Biography.","","",""
"014229879","Old","650","0","$a Authors, German $y 19th century $x Correspondence.","","",""
"014229879","New","650","0","$a Authors, German $y 19th century $v Correspondence.","","",""
"014207165","Old","650","0","$a Authors, German $y 20th century $x Diaries $v Congresses.","","",""
"014207165","New","650","0","$a Authors, German $y 20th century $v Diaries $v Congresses.","","",""
"003233886","Old","650","0","$a Authors, Irish $y 20th century $x Biography.","","",""
"003233886","New","650","0","$a Authors, Irish $y 20th century $v Biography.","","",""
"014231821","Old","650","0","$a Authors, Russian $y 19th century $x Correspondence.","","",""
"014231821","New","650","0","$a Authors, Russian $y 19th century $v Correspondence.","","",""
"007942805","Old","650","0","$a Beat generation $x Literary collections.","","",""
"007942805","New","650","0","$a Beat generation $v Literary collections.","","",""
"014252450","Old","650","4","$a Bookbinding $x Specimens $y 1851?","","",""
"014252450","New","650","4","$a Bookbinding $v Specimens $y 1851?","","",""
"013615084","Old","650","0","$a Books $x Reviews $v Periodicals.","","",""
"013615084","New","650","0","$a Books $v Reviews $v Periodicals.","","",""
"014246533","Old","650","0","$a Botany $x Pre-Linnean works.","","",""
"014246533","New","650","0","$a Botany $v Pre-Linnean works.","","",""
"014246576","Old","650","0","$a Botany $x Pre-Linnean works.","","",""
"014246576","New","650","0","$a Botany $v Pre-Linnean works.","","",""
"004673953","Old","650","0","$a Breast $x Cancer $x Patients $z United States $x Biography.","","",""
"004673953","New","650","0","$a Breast $x Cancer $x Patients $z United States $v Biography.","","",""
"014056741","Old","650","0","$a Buddhist monasticism and religious orders $x Rules $v Early works to 1800.","","",""
"014056741","New","650","0","$a Buddhist monasticism and religious orders $v Rules $v Early works to 1800.","","",""
"002385138","Old","650","0","$a Business $x Dictionaries $x Azerbaijani.","","",""
"002385138","New","650","0","$a Business $v Dictionaries $x Azerbaijani.","","",""
"002385138","Old","650","0","$a Business $x Dictionaries $x Russian.","","",""
"002385138","New","650","0","$a Business $v Dictionaries $x Russian.","","",""
"013816417","Old","650","0","$a Cats $x Fiction.","","",""
"013816417","New","650","0","$a Cats $v Fiction.","","",""
"014225137","Old","650","0","$a Celebrities $x Interviews.","","",""
"014225137","New","650","0","$a Celebrities $v Interviews.","","",""
"014226182","Old","650","0","$a Chemistry $x Nomenclature $x History.","","",""
"014226182","New","650","0","$a Chemistry $v Nomenclature $x History.","","",""
"004976329","Old","650","0","$a Chinese literature $x Translations into English.","","",""
